id,lat,lon
co110101,-20.213349467685,-70.148566067219
co110103,-20.204750465386,-70.14159232378
co110104,-20.230942432781998,-70.135897994041
co110105,-20.228987,-70.1354236
co110107,-20.22339204774,-70.142222642899
co110108,-20.221026185,-70.153117775917
co110109,-20.241371428223,-70.14390707016
pe110101,-20.258790114721002,-70.133119225502
pe110102,-20.239972211761998,-70.145087242126
pe110103,-20.23799919448,-70.143756866455
pe110104,-20.218750895824,-70.148713588715
pe110105,-20.219556311727,-70.134530067444
pe110106,-20.233006140887998,-70.13554930686999
pe110107,-20.23675094612,-70.14192759990699
sh110101,-20.219516041031,-70.13424038887
sh110102,-20.242222024876998,-70.142480134964
sh110103,-20.2248568511,-70.140050053596
sh110104,-20.231584198604,-70.13776749372501
sh110105,-20.223565710715,-70.149102509022
co110102,-20.261472449014,-70.067110061646
co110106,-20.273773855456,-70.095235705376
co110110,-20.268073,-70.095478
pe110201,-20.269373,-70.095214
co120502,-20.237342420477,-69.786570699475
pe120501,-20.262579590366002,-69.785714149475
co120401,-20.493677676203,-69.332978725433
